policy,regime,vud,correct_utility_per_task,far,severity_weighted_far,acceptance_coverage,correct_acceptance_rate,failure_declaration_rate,cost_per_task,cost_per_correct_task,deadline_miss_rate,budget_violation_rate,scheduler_overhead_seconds,stale_evidence_invalidations,accepted,false_accepts,tasks,far_upper_95
ccr_voc_learned,missing_causal_overlap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.781404664119767,2781.404664119767,0.028,0.0,27.911440861009396,0.0,0.0,0.0,1000.0,1.0
ccr_voc_learned,noisy_verifiers,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.792036796001721,4188.055194002582,0.036,0.0,42.40977252617631,0.0,0.0,0.0,1500.0,1.0
ccr_voc_learned,pareto_cost_duration,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1109148416910495,2110.9148416910493,0.131,0.0,27.178641870923457,0.0,0.0,0.0,1000.0,1.0
ccr_voc_learned,shared_specification_trap,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.6910906604321547,2691.090660432155,0.019,0.0,27.794170790988574,0.0,0.0,0.0,1000.0,1.0
ccr_voc_learned,tight_deadlines,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2395812262775774,3359.371839416366,0.7066666666666667,0.0,33.89667386104156,0.0,0.0,0.0,1500.0,1.0
ccr_voc_learned,verifier_degradation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.860134484878132,2860.134484878132,0.017,0.0,28.48560723303126,0.0,0.0,0.0,1000.0,1.0
epsilon_bandit,balanced_default,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5822524997012967,873.378749551945,0.0,0.0,0.20499366105650552,31.0,0.0,0.0,1500.0,1.0
epsilon_bandit,competence_drift,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5866628196944218,586.6628196944218,0.0,0.0,0.1285365380172152,27.0,0.0,0.0,1000.0,1.0
epsilon_bandit,confidence_inversion,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5850542908302682,585.0542908302682,0.001,0.0,0.1551949829699879,30.0,0.0,0.0,1000.0,1.0
epsilon_bandit,context_poisoning,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5956369652555027,595.6369652555027,0.0,0.0,0.12900013299804414,26.0,0.0,0.0,1000.0,1.0
epsilon_bandit,hidden_catastrophic_defect,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5891926108608825,589.1926108608825,0.0,0.0,0.13218446298378694,24.0,0.0,0.0,1000.0,1.0
epsilon_bandit,hidden_reviewer_correlation,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5833459019948581,583.3459019948582,0.0,0.0,0.13432472099339066,16.0,0.0,0.0,1000.0,1.0
